Time Norm Re(ACF(t)) Im(ACF(t) |ACF(t)| Re(Extra) Im(Extra) |Extra| Sum(HEhr) Pop1 Pop2 Pop1+Pop2 Pop2-Pop1
  0.24000000E+000  0.79993790E+001 -0.19021213E+000  0.19547563E+000  0.27274783E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39800150E+004  0.21445923E+001  0.58547867E+001  0.79993790E+001 -0.37101944E+001
  0.24750000E+000  0.79993019E+001  0.23616108E+000 -0.13838872E+000  0.27372156E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39800896E+004  0.21495625E+001  0.58497394E+001  0.79993019E+001 -0.37001769E+001
  0.25500000E+000  0.79992497E+001 -0.26536411E+000  0.70987705E-001  0.27469504E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39801856E+004  0.21546034E+001  0.58446462E+001  0.79992497E+001 -0.36900428E+001
  0.26250000E+000  0.79992041E+001  0.27550102E+000  0.17369107E-002  0.27550650E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39802887E+004  0.21597438E+001  0.58394602E+001  0.79992041E+001 -0.36797164E+001
  0.27000000E+000  0.79991665E+001 -0.26575597E+000 -0.74275506E-001  0.27594037E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39803553E+004  0.21649534E+001  0.58342132E+001  0.79991665E+001 -0.36692598E+001
  0.27750000E+000  0.79991307E+001  0.23696297E+000  0.14127269E+000  0.27587936E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39804534E+004  0.21701130E+001  0.58290177E+001  0.79991307E+001 -0.36589047E+001
  0.28500000E+000  0.79990790E+001 -0.19133513E+000 -0.19807599E+000  0.27539650E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39808099E+004  0.21750388E+001  0.58240402E+001  0.79990790E+001 -0.36490013E+001
  0.29250000E+000  0.79990556E+001  0.13216319E+000  0.24095357E+000  0.27481945E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39814095E+004  0.21795806E+001  0.58194750E+001  0.79990556E+001 -0.36398944E+001
  0.30000000E+000  0.79989982E+001 -0.63512274E-001 -0.26713868E+000  0.27458493E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39818654E+004  0.21835305E+001  0.58154677E+001  0.79989982E+001 -0.36319371E+001
  0.30750000E+000  0.79989730E+001 -0.98885737E-002  0.27479995E+000  0.27497781E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39823611E+004  0.21868622E+001  0.58121108E+001  0.79989730E+001 -0.36252485E+001
  0.31500000E+000  0.79989166E+001  0.82964826E-001 -0.26308613E+000  0.27585770E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39824948E+004  0.21895005E+001  0.58094161E+001  0.79989166E+001 -0.36199157E+001
  0.32250000E+000  0.79988797E+001 -0.15038554E+000  0.23230381E+000  0.27673249E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39822062E+004  0.21914939E+001  0.58073858E+001  0.79988797E+001 -0.36158919E+001
  0.33000000E+000  0.79988452E+001  0.20686540E+000 -0.18424789E+000  0.27702090E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.39819921E+004  0.21929029E+001  0.58059423E+001  0.79988452E+001 -0.36130394E+001
